surface,tourney_level,tourney_date,winner_id,winner_seed,winner_age,loser_id,loser_seed,loser_age,best_of,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points,winner_winrate,loser_winrate,winner_head_to_head_winrate,loser_head_to_head_winrate,winner_surface_winrate,loser_surface_winrate,winner_recent_form,loser_recent_form
Hard,G,20230116,100644,12.0,25.7,122669,,27.2,5,R128,13.0,2560.0,103.0,546.0,0.7013422818791947,0.3076923076923077,1.0,0.0,0.6685714285714286,0.2,0.5,0.4
Hard,G,20230116,104918,,35.6,126610,13.0,26.7,5,R128,66.0,770.0,14.0,2490.0,0.6689655172413793,0.5950413223140496,0.5,0.5,0.632183908045977,0.5362318840579711,0.4,0.5
Hard,G,20230116,106423,,26.7,104926,,35.6,5,R128,159.0,362.0,57.0,823.0,0.3953488372093023,0.5416666666666666,1.0,0.0,0.40625,0.4942528735632184,0.5,0.4
Hard,G,20230116,200587,,24.7,126846,,26.7,5,R128,215.0,255.0,146.0,384.0,0.4,0.35294117647058826,1.0,0.0,0.4,0.35714285714285715,0.5,0.3
Hard,G,20230116,105138,24.0,34.7,105311,,33.7,5,R128,25.0,1675.0,81.0,644.0,0.5970149253731343,0.41,1.0,0.0,0.5867768595041323,0.41935483870967744,0.5,0.3
Hard,G,20230116,200221,30.0,23.6,122330,,25.5,5,R128,32.0,1325.0,36.0,1130.0,0.53125,0.43209876543209874,1.0,0.0,0.49019607843137253,0.4090909090909091,0.5,0.3
Hard,G,20230116,126205,,25.6,105526,,32.7,5,R128,35.0,1160.0,167.0,351.0,0.5686274509803921,0.48031496062992124,1.0,0.0,0.6103896103896104,0.4264705882352941,0.7,0.5
Hard,G,20230116,202385,,22.2,106331,,28.6,5,R128,39.0,1010.0,80.0,648.0,0.5555555555555556,0.3076923076923077,1.0,0.0,0.5925925925925926,0.3125,0.7,0.4
Hard,G,20230116,134770,2.0,24.0,207830,,22.2,5,R128,3.0,5720.0,110.0,512.0,0.6027397260273972,0.3,1.0,0.0,0.5432098765432098,0.375,0.4,0.3
Hard,G,20230116,111456,,27.7,104745,1.0,36.6,5,R64,65.0,775.0,2.0,5770.0,0.4523809523809524,0.822463768115942,0.5,0.5,0.46875,0.7714285714285715,0.5,0.8
Hard,G,20230116,106415,31.0,27.3,207494,,20.2,5,R64,33.0,1212.0,216.0,249.0,0.422680412371134,0.5,1.0,0.0,0.4492753623188406,0.5,0.5,0.5
Hard,G,20230116,111575,18.0,26.6,106186,,29.6,5,R64,20.0,1885.0,84.0,633.0,0.5948717948717949,0.4444444444444444,1.0,0.0,0.5867768595041323,0.38461538461538464,0.7,0.5
Hard,G,20230116,126207,16.0,24.9,209992,,17.9,5,R64,17.0,2260.0,194.0,289.0,0.532051282051282,0.14285714285714285,1.0,0.0,0.5546218487394958,0.16666666666666666,0.7,0.5
Hard,G,20230116,128034,10.0,25.9,132283,,27.6,5,R64,11.0,2860.0,47.0,925.0,0.6012658227848101,0.47,1.0,0.0,0.6190476190476191,0.4,0.6,0.5
Hard,G,20230116,133430,20.0,23.7,106121,,29.9,5,R64,22.0,1830.0,94.0,572.0,0.5911949685534591,0.33962264150943394,1.0,0.0,0.5961538461538461,0.3888888888888889,0.5,0.6
Hard,G,20230116,200624,29.0,22.5,133297,,24.7,5,R64,31.0,1325.0,138.0,413.0,0.5454545454545454,0.45454545454545453,1.0,0.0,0.5581395348837209,0.42857142857142855,0.5,0.4
Hard,G,20230116,106421,7.0,26.9,105357,,33.5,5,R64,8.0,3860.0,140.0,410.0,0.6942148760330579,0.4117647058823529,1.0,0.0,0.7213114754098361,0.44642857142857145,0.8,0.3
Hard,G,20230116,126774,3.0,24.4,208014,,21.8,5,R64,4.0,5715.0,169.0,344.0,0.6738197424892703,0.5454545454545454,1.0,0.0,0.6423357664233577,0.5454545454545454,0.7,0.6
Hard,G,20230116,134868,,26.5,122298,32.0,27.2,5,R64,63.0,789.0,34.0,1205.0,0.3125,0.5087719298245614,1.0,0.0,0.35,0.5294117647058824,0.4,0.4
Hard,G,20230116,105916,,30.9,144750,,25.8,5,R64,78.0,687.0,186.0,310.0,0.4727272727272727,0.41818181818181815,1.0,0.0,0.47761194029850745,0.4864864864864865,0.6,0.3
Hard,G,20230116,206173,15.0,21.4,144869,,23.4,5,R64,16.0,2375.0,79.0,649.0,0.6884057971014492,0.4074074074074074,1.0,0.0,0.6829268292682927,0.2857142857142857,0.7,0.5
Hard,G,20230116,111815,11.0,27.4,106005,,30.6,5,R64,12.0,2680.0,55.0,842.0,0.5365853658536586,0.14285714285714285,1.0,0.0,0.5263157894736842,0.25,0.5,0.5
Hard,G,20230116,208103,,21.1,111153,,26.6,5,R64,71.0,717.0,116.0,487.0,0.4375,0.4117647058823529,1.0,0.0,0.4444444444444444,0.35714285714285715,0.7,0.7
Hard,G,20230116,202103,28.0,24.4,144895,,23.7,5,R64,29.0,1383.0,62.0,790.0,0.5217391304347826,0.4166666666666667,1.0,0.0,0.5517241379310345,0.43333333333333335,0.6,0.3
Hard,G,20230116,200000,6.0,22.4,144684,,25.1,5,R64,7.0,3895.0,53.0,850.0,0.5396825396825397,0.4838709677419355,1.0,0.0,0.5795454545454546,0.47368421052631576,0.7,0.6
Hard,G,20230116,126094,5.0,25.2,200325,,23.7,5,R64,6.0,3930.0,46.0,941.0,0.6206896551724138,0.47368421052631576,1.0,0.0,0.6056338028169014,0.5384615384615384,0.7,0.7
Hard,G,20230116,200005,,24.5,106045,,30.4,5,R64,106.0,523.0,108.0,522.0,0.37662337662337664,0.3469387755102041,1.0,0.0,0.4117647058823529,0.37142857142857144,0.5,0.3
Hard,G,20230116,208029,9.0,19.7,202195,,25.6,5,R64,10.0,2876.0,41.0,992.0,0.6307692307692307,0.3235294117647059,1.0,0.0,0.5454545454545454,0.4166666666666667,0.6,0.2
Hard,G,20230116,126127,,26.6,105807,14.0,31.5,5,R64,48.0,911.0,15.0,2420.0,0.4117647058823529,0.5852272727272727,1.0,0.0,0.47368421052631576,0.6186440677966102,0.5,0.5
Hard,G,20230116,200282,22.0,23.9,105173,,34.5,5,R64,24.0,1710.0,45.0,971.0,0.547945205479452,0.44966442953020136,1.0,0.0,0.5961538461538461,0.5047619047619047,0.5,0.6
Hard,G,20230116,105777,27.0,31.6,111513,,27.6,5,R64,28.0,1395.0,68.0,758.0,0.6147186147186147,0.35064935064935066,1.0,0.0,0.6486486486486487,0.24324324324324326,0.5,0.4
Hard,G,20230116,104925,4.0,35.6,111505,,27.8,5,R64,5.0,5070.0,191.0,302.0,0.8635097493036211,0.25,1.0,0.0,0.8704663212435233,0.25,0.8,0.5
Hard,G,20230116,200615,,23.4,126203,8.0,25.2,5,R64,113.0,506.0,9.0,3545.0,0.4782608695652174,0.5625,1.0,0.0,0.5333333333333333,0.5737704918032787,0.5,0.7
Hard,G,20230116,210097,,20.2,111797,,27.2,5,R64,89.0,604.0,154.0,370.0,0.5454545454545454,0.42857142857142855,1.0,0.0,0.6296296296296297,0.4482758620689655,0.5,0.6
Hard,G,20230116,200670,,24.0,106043,23.0,30.4,5,R64,67.0,758.0,26.0,1550.0,0.45714285714285713,0.5658536585365853,1.0,0.0,0.4642857142857143,0.5378151260504201,0.5,0.4
Hard,G,20230116,111581,,25.0,100644,12.0,25.7,5,R64,107.0,523.0,13.0,2560.0,0.3448275862068966,0.7013422818791947,0.5,0.5,0.391304347826087,0.6685714285714286,0.5,0.5
Hard,G,20230116,104918,,35.6,106423,,26.7,5,R64,66.0,770.0,159.0,362.0,0.6689655172413793,0.3953488372093023,1.0,0.0,0.632183908045977,0.40625,0.4,0.5
Hard,G,20230116,105138,24.0,34.7,200587,,24.7,5,R64,25.0,1675.0,215.0,255.0,0.5970149253731343,0.4,1.0,0.0,0.5867768595041323,0.4,0.5,0.5
Hard,G,20230116,126205,,25.6,200221,30.0,23.6,5,R64,35.0,1160.0,32.0,1325.0,0.5686274509803921,0.53125,1.0,0.0,0.6103896103896104,0.49019607843137253,0.7,0.5
Hard,G,20230116,202385,,22.2,134770,2.0,24.0,5,R64,39.0,1010.0,3.0,5720.0,0.5555555555555556,0.6027397260273972,0.5,0.5,0.5925925925925926,0.5432098765432098,0.7,0.4
Hard,G,20230116,106415,31.0,27.3,111456,,27.7,5,R32,33.0,1212.0,65.0,775.0,0.422680412371134,0.4523809523809524,1.0,0.0,0.4492753623188406,0.46875,0.5,0.5
Hard,G,20230116,111575,18.0,26.6,126207,16.0,24.9,5,R32,20.0,1885.0,17.0,2260.0,0.5948717948717949,0.532051282051282,1.0,0.0,0.5867768595041323,0.5546218487394958,0.7,0.7
Hard,G,20230116,128034,10.0,25.9,133430,20.0,23.7,5,R32,11.0,2860.0,22.0,1830.0,0.6012658227848101,0.5911949685534591,1.0,0.0,0.6190476190476191,0.5961538461538461,0.6,0.5
Hard,G,20230116,200624,29.0,22.5,106421,7.0,26.9,5,R32,31.0,1325.0,8.0,3860.0,0.5454545454545454,0.6942148760330579,0.6666666666666666,0.33333333333333337,0.5581395348837209,0.7213114754098361,0.5,0.8
Hard,G,20230116,126774,3.0,24.4,134868,,26.5,5,R32,4.0,5715.0,63.0,789.0,0.6738197424892703,0.3125,1.0,0.0,0.6423357664233577,0.35,0.7,0.4
Hard,G,20230116,206173,15.0,21.4,105916,,30.9,5,R32,16.0,2375.0,78.0,687.0,0.6884057971014492,0.4727272727272727,0.3333333333333333,0.6666666666666667,0.6829268292682927,0.47761194029850745,0.7,0.6
Hard,G,20230116,208103,,21.1,111815,11.0,27.4,5,R32,71.0,717.0,12.0,2680.0,0.4375,0.5365853658536586,1.0,0.0,0.4444444444444444,0.5263157894736842,0.7,0.5
Hard,G,20230116,200000,6.0,22.4,202103,28.0,24.4,5,R32,7.0,3895.0,29.0,1383.0,0.5396825396825397,0.5217391304347826,1.0,0.0,0.5795454545454546,0.5517241379310345,0.7,0.6
Hard,G,20230116,126094,5.0,25.2,105554,25.0,32.6,5,R32,6.0,3930.0,30.0,1380.0,0.6206896551724138,0.4444444444444444,0.5,0.5,0.6056338028169014,0.47761194029850745,0.7,0.1
Hard,G,20230116,208029,9.0,19.7,200005,,24.5,5,R32,10.0,2876.0,106.0,523.0,0.6307692307692307,0.37662337662337664,1.0,0.0,0.5454545454545454,0.4117647058823529,0.6,0.5
Hard,G,20230116,200282,22.0,23.9,126127,,26.6,5,R32,24.0,1710.0,48.0,911.0,0.547945205479452,0.4117647058823529,1.0,0.0,0.5961538461538461,0.47368421052631576,0.5,0.5
Hard,G,20230116,104925,4.0,35.6,105777,27.0,31.6,5,R32,5.0,5070.0,28.0,1395.0,0.8635097493036211,0.6147186147186147,1.0,0.0,0.8704663212435233,0.6486486486486487,0.8,0.5
Hard,G,20230116,210097,,20.2,200615,,23.4,5,R32,89.0,604.0,113.0,506.0,0.5454545454545454,0.4782608695652174,1.0,0.0,0.6296296296296297,0.5333333333333333,0.5,0.5
Hard,G,20230116,200670,,24.0,111581,,25.0,5,R32,67.0,758.0,107.0,523.0,0.45714285714285713,0.3448275862068966,1.0,0.0,0.4642857142857143,0.391304347826087,0.5,0.5
Hard,G,20230116,105138,24.0,34.7,104918,,35.6,5,R32,25.0,1675.0,66.0,770.0,0.5970149253731343,0.6689655172413793,0.6666666666666666,0.33333333333333337,0.5867768595041323,0.632183908045977,0.5,0.4
Hard,G,20230116,126205,,25.6,202385,,22.2,5,R32,35.0,1160.0,39.0,1010.0,0.5686274509803921,0.5555555555555556,1.0,0.0,0.6103896103896104,0.5925925925925926,0.7,0.7
Hard,G,20230116,111575,18.0,26.6,106415,31.0,27.3,5,R16,20.0,1885.0,33.0,1212.0,0.5948717948717949,0.422680412371134,1.0,0.0,0.5867768595041323,0.4492753623188406,0.7,0.5
Hard,G,20230116,200624,29.0,22.5,128034,10.0,25.9,5,R16,31.0,1325.0,11.0,2860.0,0.5454545454545454,0.6012658227848101,1.0,0.0,0.5581395348837209,0.6190476190476191,0.5,0.6
Hard,G,20230116,126774,3.0,24.4,206173,15.0,21.4,5,R16,4.0,5715.0,16.0,2375.0,0.6738197424892703,0.6884057971014492,0.8,0.19999999999999996,0.6423357664233577,0.6829268292682927,0.7,0.7
Hard,G,20230116,208103,,21.1,200000,6.0,22.4,5,R16,71.0,717.0,7.0,3895.0,0.4375,0.5396825396825397,1.0,0.0,0.4444444444444444,0.5795454545454546,0.7,0.7
Hard,G,20230116,126094,5.0,25.2,208029,9.0,19.7,5,R16,6.0,3930.0,10.0,2876.0,0.6206896551724138,0.6307692307692307,0.6666666666666666,0.33333333333333337,0.6056338028169014,0.5454545454545454,0.7,0.6
Hard,G,20230116,104925,4.0,35.6,200282,22.0,23.9,5,R16,5.0,5070.0,24.0,1710.0,0.8635097493036211,0.547945205479452,1.0,0.0,0.8704663212435233,0.5961538461538461,0.8,0.5
Hard,G,20230116,210097,,20.2,200670,,24.0,5,R16,89.0,604.0,67.0,758.0,0.5454545454545454,0.45714285714285713,1.0,0.0,0.6296296296296297,0.4642857142857143,0.5,0.5
Hard,G,20230116,126205,,25.6,105138,24.0,34.7,5,R16,35.0,1160.0,25.0,1675.0,0.5686274509803921,0.5970149253731343,0.4,0.6,0.6103896103896104,0.5867768595041323,0.7,0.5
Hard,G,20230116,111575,18.0,26.6,200624,29.0,22.5,5,QF,20.0,1885.0,31.0,1325.0,0.5948717948717949,0.5454545454545454,0.6666666666666666,0.33333333333333337,0.5867768595041323,0.5581395348837209,0.7,0.5
Hard,G,20230116,126774,3.0,24.4,208103,,21.1,5,QF,4.0,5715.0,71.0,717.0,0.6738197424892703,0.4375,1.0,0.0,0.6423357664233577,0.4444444444444444,0.7,0.7
Hard,G,20230116,104925,4.0,35.6,126094,5.0,25.2,5,QF,5.0,5070.0,6.0,3930.0,0.8635097493036211,0.6206896551724138,1.0,0.0,0.8704663212435233,0.6056338028169014,0.8,0.7
Hard,G,20230116,126205,,25.6,210097,,20.2,5,QF,35.0,1160.0,89.0,604.0,0.5686274509803921,0.5454545454545454,1.0,0.0,0.6103896103896104,0.6296296296296297,0.7,0.5
Hard,G,20230116,126774,3.0,24.4,111575,18.0,26.6,5,SF,4.0,5715.0,20.0,1885.0,0.6738197424892703,0.5948717948717949,1.0,0.0,0.6423357664233577,0.5867768595041323,0.7,0.7
